cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
00463B,Canning College,Canning College,Government,www.canningcollege.wa.edu.au,,,,,,,,,,,,,,
00466K,NULL,St John's Catholic College,Private,NULL,,,,,,,,,,,,,,
00477G,The Friends' School,The Friends' School Incorporated,Private,www.friends.tas.edu.au,,,,,,,,,,,,,,
00478F,The Hutchins School,HUTCHINS SCHOOL BOARD OF MANAGEMENT,Private,www.hutchins.tas.edu.au,,,,,,,,,,,,,,
00482K,St Michael's Collegiate School,ST MICHAEL'S COLLEGIATE SCHOOL,Private,www.collegiate.tas.edu.au,,,,,,,,,,,,,,
00487E,Anglican Church Grammar School,The Corporation of the Synod of the Diocese of Brisbane,Private,NULL,,,,,,,,,,,,,,
00488D,Blackheath and Thornburgh College,Blackheath and Thornburgh College,Private,www.btc.qld.edu.au,,,,,,,,,,,,,,
00489C,Brisbane Grammar School,Board of Trustees of the Brisbane Grammar School,Private,www.brisbanegrammar.com,,,,,,,,,,,,,,
00491J,Brisbane Boys' College,The Presbyterian and Methodist Schools Association,Private,NULL,,,,,,,,,,,,,,
00494F,Downlands College,Downlands College Ltd,Private,NULL,,,,,,,,,,,,,,
00496D,The Glennie School,The Corporation of the Synod of the Diocese of Brisbane - The Glennie School,Private,NULL,,,,,,,,,,,,,,
00499A,Ipswich Grammar School,Board of Trustees of the Ipswich Grammar School,Private,www.ipswichgrammar.com,,,,,,,,,,,,,,
00500B,"John Paul College, John Paul International College",John Paul College Limited,Private,NULL,,,,,,,,,,,,,,
00503K,Lourdes Hill College,Lourdes Hill College,Private,www.lhc.qld.edu.au,,,,,,,,,,,,,,
00506G,The Cathedral College,The Roman Catholic Trust Corporation for the Diocese of Rockhampton,Private,www.tccr.com.au,,,,,,,,,,,,,,
00507F,Rockhampton Grammar School; The Rockhampton English Language Academy,Board of Trustees of the Rockhampton Grammar School,Private,www.rgs.qld.edu.au,,,,,,,,,,,,,,
00508E,Rockhampton Girls' Grammar School,Board of the Trustees of the Rockhampton Girls' Grammar School,Private,www.rggs.qld.edu.au,,,,,,,,,,,,,,
00509D,St Augustine's College,The Roman Catholic Trust Corporation for the Diocese of Cairns,Private,www.sac.qld.edu.au,,,,,,,,,,,,,,
00510M,St Hilda's School,The Corporation of the Synod of the Diocese of Brisbane - St Hilda's School,Private,NULL,,,,,,,,,,,,,,
00511K,St Margaret's Anglican Girls School,St Margaret's School Council Ltd,Private,www.stmagarets.qld.edu.au,,,,,,,,,,,,,,
00515F,St Paul's School,The Corporation of the Synod of the Diocese of Brisbane,Private,www.stpauls.qld.edu.au,,,,,,,,,,,,,,
00516E,St Peters Lutheran College,Lutheran Church of Australia - Queensland District,Private,www.stpeters.qld.edu.au,,,,,,,,,,,,,,
00517D,St Saviour's College,Corporation of the Roman Catholic Diocese of Toowoomba,Private,www.ssctwb.catholic.edu.au,,,,,,,,,,,,,,
00521G,Somerset College,Somerset College Limited,Private,www.somerset.qld.edu.au,,,,,,,,,,,,,,
00522G,Somerville House,The Presbyterian and Methodist Schools Association,Private,www.somerville.qld.edu.au,,,,,,,,,,,,,,
00523F,The Southport School,The Corporation of the Synod of the Diocese of Brisbane,Private,www.tss.qld.edu.au,,,,,,,,,,,,,,
00524E,Stuartholme School,Stuartholme School,Private,www.stuartholme.com,,,,,,,,,,,,,,
00525D,Toowoomba Grammar School,Board of Trustees of the Toowoomba Grammar School,Private,www.twgs.qld.edu.au,,,,,,,,,,,,,,
00533D,Ipswich Girls' Grammar School including Ipswich Junior Grammar School,Board of Trustees of the Ipswich Girls' Grammar School,Private,www.iggs.qld.edu.au,,,,,,,,,,,,,,
00537M,The SCOTS PGC College,The Uniting Church in Australia Property Trust (Q.),Private,www.scotspgc.qld.edu.au,,,,,,,,,,,,,,
00539J,Suncoast Christian College,Christian Outreach Centre,Private,www.suncoastcc.qld.edu.au,,,,,,,,,,,,,,
00540E,Bethel Christian School,Bethel Christian School Limited,Private,www.bethel.nsw.edu.au,,,,,,,,,,,,,,
00544A,Kinross Wolaroi School,Kinross Wolaroi School,Private,www.kws.nsw.edu.au,,,,,,,,,,,,,,
00553M,St Philip's Christian College - Gosford; St Philip's Christian College - Port Stephens; St Philip's Christian College - Waratah,St Philip's Christian Education Foundation Ltd,Private,www.spcc.nsw.edu.au,,,,,,,,,,,,,,
00557G,Ballarat Clarendon College,Ballarat and Clarendon College,Private,NULL,,,,,,,,,,,,,,
00558F,NULL,Loyola College,Private,www.loyola.vic.edu.au,,,,,,,,,,,,,,
00561M,Eynesbury College/Eynesbury Institute of Business and Technology/Eynesbury College Academy of English/Eynesbury/Eynesbury International,Educational Enterprises Australia Pty Ltd,Private,www.eynesbury.navitas.com,,,,,,,,,,,,,,
00563J,NULL,Walford Anglican School for Girls,Private,walford.net.au,,,,,,,,,,,,,,
00564G,Townsville Grammar School,Board of Trustees of the Townsville Grammar School,Private,www.tgs.qld.edu.au,,,,,,,,,,,,,,
00572G,St Joseph's Nudgee College,Edmund Rice Education Australia Colleges Ltd,Private,www.nudgee.com,,,,,,,,,,,,,,
00574F,St. Catherine's School,St. Catherine's School,Private,www.stcatherines.net.au,,,,,,,,,,,,,,
00577C,Strathcona Baptist Girls Grammar School,Strathcona Baptist Girls Grammar School Limited,Private,www.strathcona.vic.edu.au,,,,,,,,,,,,,,
00578B,Heathdale Christian College,Heathdale Christian College Limited,Private,www.heathdale.vic.edu.au,,,,,,,,,,,,,,
00580G,NULL,Canberra Grammar School,Private,www.cgs.act.edu.au,,,,,,,,,,,,,,
00581G,Concordia Lutheran College,Lutheran Church of Australia - Queensland District,Private,NULL,,,,,,,,,,,,,,
00588M,NSW Department of Education (Schools),NSW Department of Education,Government,www.deinternational.nsw.edu.au,,,,,,,,,,,,,,
00591E,TAFE NSW Technical and Further Education Commission; TAFE NSW Higher Education,Technical and Further Education Commission,Government,https://www.tafensw.edu.au/international,,,,,,,,,,,,,,
00602G,Westminster School Inc,Westminster School Inc,Private,www.westminster.sa.edu.au,,,,,,,,,,,,,,
00603F,NULL,Saint Ignatius' College,Private,www.ignatius.sa.edu.au,,,,,,,,,,,,,,
00608A,Education Queensland International,Department of Education,Government,www.eqi.com.au,,,,,,,,,,,,,,
00615B,NULL,Scotch College,Private,www.scotch.sa.edu.au,,,,,,,,,,,,,,
00617M,Monivae College,Monivae College,Private,www.monivae.com.au,,,,,,,,,,,,,,
00624A,Scotch College,Scotch College,Private,www.scotch.vic.edu.au,,,,,,,,,,,,,,
00628G,NULL,Seymour College Inc,Private,www.seymour.sa.edu.au,,,,,,,,,,,,,,
00629G,NULL,Loreto College,Private,www.loreto.sa.edu.au,,,,,,,,,,,,,,
00643J,NULL,ACT Education Directorate,Government,NULL,,,,,,,,,,,,,,
00649C,Haileybury College,Haileybury,Private,www.haileybury.vic.edu.au,,,,,,,,,,,,,,
00650K,Launceston Church Grammar School,LAUNCESTON CHURCH GRAMMAR SCHOOL,Private,www.lcgs.tas.edu.au,,,,,,,,,,,,,,
00670F,Marist College Ashgrove,Marist Schools Australia Limited,Private,www.marash.qld.edu.au,,,,,,,,,,,,,,
00712A,Toowoomba Anglican School,The Corporation of the Synod of the Diocese of Brisbane,Private,www.taschool.qld.edu.au,,,,,,,,,,,,,,
00713M,SCECGS Redlands,SCECGS Redlands Limited,Private,www.redlands.nsw.edu.au,,,,,,,,,,,,,,
00715J,St James College,Edmund Rice Education Australia Colleges Ltd,Private,www.stjamescollege.qld.edu.au,,,,,,,,,,,,,,
00724G,Melbourne Polytechnic,Melbourne Polytechnic,Government,http://www.melbournepolytechnic.edu.au/,,,,,,,,,,,,,,
00745C,Aranmore Catholic College,Catholic Education Western Australia Limited,Private,www.aranmore.wa.edu.au,,,,,,,,,,,,,,
00765K,Ursula Frayne Catholic College,Catholic Education Western Australia Limited,Private,www.ursulafrayne.wa.edu.au,,,,,,,,,,,,,,
00770B,Trinity Anglican School,Trinity Anglican School Ltd,Private,www.tas.qld.edu.au,,,,,,,,,,,,,,
00772M,SHORE - Sydney Church of England Grammar School,Sydney Church of England Grammar School Council,Private,www.shore.nsw.edu.au,,,,,,,,,,,,,,
00780M,NULL,Department of Education and Training,Government,www.education.nt.gov.au,,,,,,,,,,,,,,
00861K,Department of Education,Department of Education,Government,http://www.study.vic.gov.au,,,,,,,,,,,,,,
00871G,St Aloysius College,MERCY EDUCATION LIMITED,Private,www.aloysius.vic.edu.au,,,,,,,,,,,,,,
00874E,St Joseph's College,St Joseph's College,Private,www.stjosephs.com.au,,,,,,,,,,,,,,
00878A,Trinity Lutheran College,Lutheran Church of Australia - Queensland District,Private,www.tlc.qld.edu.au,,,,,,,,,,,,,,
00881F,Chisholm Institute,Chisholm Institute,Government,http://chisholm.edu.au,,,,,,,,,,,,,,
00897J,Pittwater House Schools,The Pittwater House Schools Ltd,Private,www.pittwaterhouse.com.au,,,,,,,,,,,,,,
00898G,"Melbourne School of Fashion, Holmes Commercial Colleges, Holmes Grammar School",Holmes Commercial Colleges (Melbourne) Limited,Private,www.holmesinstitute.edu.au,,,,,,,,,,,,,,
00902F,A B Paterson College,A B Paterson College Limited,Private,www.abpat.qld.edu.au,,,,,,,,,,,,,,
00923A,Redlands College,Redlands College Ltd,Private,www.redlands.qld.edu.au,,,,,,,,,,,,,,
00958A,Alphacrucis College,Alphacrucis University College Limited,Private,http://ac.edu.au,,,,,,,,,,,,,,
00959M,The Cathedral School of St Anne and St James,The Cathedral School of St Anne and St James,Private,www.cathedral.qld.edu.au,,,,,,,,,,,,,,
00972C,St Laurence's College,Edmund Rice Education Australia Colleges Ltd,Private,www.slc.qld.edu.au,,,,,,,,,,,,,,
00974A,Ivanhoe Girls Grammar School,The Ivanhoe Girls Grammar School,Private,www.ivanhoegirls.vic.edu.au,,,,,,,,,,,,,,
00977J,Melbourne Grammar School,Melbourne Grammar School,Private,www.mgs.vic.edu.au,,,,,,,,,,,,,,
00978G,Gilson College,Seventh-Day Adventist Schools (Victoria) Limited,Private,www.gilsoncollege.vic.edu.au,,,,,,,,,,,,,,
00979G,All Saints Anglican School Limited,All Saints Anglican School Limited,Private,www.asas.qld.edu.au,,,,,,,,,,,,,,
00986G,"Perth Bible College, Asia-Pacific School of Pastoral Care and Counselling",Perth Bible College (Inc),Private,www.pbc.wa.edu.au,,,,,,,,,,,,,,
00992K,Australian Islamic College (Perth); Australian Islamic College (North of the River); Australian Islamic College (Kewdale);,Australian Islamic College (Perth) Inc,Private,www.aic.wa.edu.au,,,,,,,,,,,,,,
00993J,Whitsunday Anglican School,Whitsunday Anglican School Limited,Private,www.was.qld.edu.au,,,,,,,,,,,,,,
00996F,Citipointe Christian College and Citipointe Christian College International,Christian Outreach Centre,Private,www.citipointe.qld.edu.au,,,,,,,,,,,,,,
01016F,Christian Heritage College,Christian Heritage College,Private,www.chc.edu.au,,,,,,,,,,,,,,
01020K,UNSW College,UNSW Global Pty Limited,Private,www.unswcollege.edu.au,,,,,,,,,,,,,,
01022G,Korowa Anglican Girls' School,Korowa Anglican Girls School,Private,www.korowa.vic.edu.au,,,,,,,,,,,,,,
01043C,Hillcrest Christian College,Hillcrest Christian College Limited,Private,www.hillcrest.qld.edu.au,,,,,,,,,,,,,,
01095B,Mueller College,Mueller College Ltd,Private,www.mueller.qld.edu.au,,,,,,,,,,,,,,
01097M,Nazareth College,Nazareth College,Private,www.nazareth.vic.edu.au,,,,,,,,,,,,,,
01100K,Girton Grammar School,Girton Grammar School Ltd,Private,www.girton.vic.edu.au,,,,,,,,,,,,,,
01102G,NULL,St Dominic's Priory College,Private,https://stdominics.sa.edu.au/,,,,,,,,,,,,,,
01194K,St Aidan's Anglican Girls School,St Aidan's School Council Ltd,Private,www.staidans.qld.edu.au,,,,,,,,,,,,,,
01218G,Bendigo TAFE; and Kangan Institute,Bendigo Kangan Institute,Government,www.kangan.edu.au,,,,,,,,,,,,,,
01220B,Mackillop Catholic Regional College,Mackillop Catholic Regional College,Private,www.mackillop.vic.edu.au,,,,,,,,,,,,,,
01248A,Rivermount College,Rivermount Education Ltd,Private,www.rivermount.net,,,,,,,,,,,,,,
01260E,Peace Lutheran College,Lutheran Church of Australia Queensland District,Private,www.plc.qld.edu.au,,,,,,,,,,,,,,
01294F,NULL,Canberra Girls' Grammar School,Private,www.cggs.act.edu.au,,,,,,,,,,,,,,
01312J,Edith Cowan College,Edith Cowan College Pty Ltd,Private,www.edithcowancollege.edu.au,,,,,,,,,,,,,,
01317D,St Luke's Anglican School,The Corporation of the Synod of the Diocese of Brisbane,Private,www.stlukes.qld.edu.au,,,,,,,,,,,,,,
01328A,"Australian College of Applied Professions, ACAP University College",ACAP University College,Private,www.acap.edu.au,,,,,,,,,,,,,,
01329M,West Moreton Anglican College,The Corporation of the Synod of the Diocese of Brisbane,Private,www.wmac.com.au,,,,,,,,,,,,,,
01331F,"Australian Pacific College, Southern Cross High School, English Unlimited Sydney, English Unlimited Melbourne",Young Rabbit Pty Ltd,Private,www.apc.edu.au,,,,,,,,,,,,,,
01376D,NULL,Alphington Grammar School,Private,www.alphington.vic.edu.au,,,,,,,,,,,,,,
01378B,Northpine Christian College,Seventh-day Adventist Schools (South Queensland) Ltd,Private,northpine.adventistconnect.org,,,,,,,,,,,,,,
01406C,St John's International College and St John's Anglican College,FSAC Ltd,Private,www.stjohnsanglicancollege.com.au,,,,,,,,,,,,,,
01434K,Caloundra Christian College,Caloundra Christian College Limited,Private,www.calcc.qld.edu.au,,,,,,,,,,,,,,
01457C,Immanuel Lutheran College,Lutheran Church of Australia - Queensland District,Private,www.immanuel.qld.edu.au,,,,,,,,,,,,,,
01461G,Nambour Christian College,Nambour Christian College Ltd,Private,www.ncc.qld.edu.au,,,,,,,,,,,,,,
01488G,St Andrew's Greek Orthodox Grammar School,Hellenic Community of WA Inc,Private,www.sag.wa.edu.au,,,,,,,,,,,,,,
01497F,"The Illawarra Business College, Australian College of Hospitality, AUSTRALIAN COLLEGE OF COMMUNITY SERVICES,Australian College of Community Care",Focal Holdings Pty Ltd,Private,www.tibc.nsw.edu.au,,,,,,,,,,,,,,
01502C,Kardinia International College,Kardinia International College (Geelong) Ltd,Private,www.kardinia.vic.edu.au,,,,,,,,,,,,,,
01529C,Lake Joondalup Baptist College,The Lake Joondalup Baptist College Inc,Private,www.ljbc.wa.edu.au,,,,,,,,,,,,,,
01535E,St Peter's College,The Anglican Church of Australia Collegiate School of Saint Peter,Private,www.stpeters.sa.edu.au,,,,,,,,,,,,,,
01536D,NULL,Prescott College Southern,Private,www.prescott.sa.edu.au,,,,,,,,,,,,,,
01545C,MIT - Melbourne Institute of Technology,Melbourne Institute of Technology Pty Ltd,Private,http://www.mit.edu.au,,,,,,,,,,,,,,
01576G,Sydney Institute of Business and Technology,Sydney Institute of Business and Technology Pty Ltd,Private,www.sibt.nsw.edu.au,,,,,,,,,,,,,,
01577F,Quinns Baptist College,Australian Baptist Education Inc,Private,www.qbc.wa.edu.au,,,,,,,,,,,,,,
01589B,Bedford College,Baptist Business College Ltd,Private,www.bedford.edu.au,,,,,,,,,,,,,,
01590J,Deakin College,Melbourne Institute of Business & Technology Pty Ltd,Private,www.deakincollege.edu.au,,,,,,,,,,,,,,
01592G,Fraser Coast Anglican College,The Corporation of the Synod of the Diocese of Brisbane - Fraser Coast Anglican College,Private,www.fcac.qld.edu.au,,,,,,,,,,,,,,
01609C,Canterbury College,Canterbury College Limited,Private,www.canterbury.qld.edu.au,,,,,,,,,,,,,,
01611J,Prescott College,Prescott College,Private,www.prescott.sa.edu.au,,,,,,,,,,,,,,
01645K,NULL,Woodcroft College,Private,http://www.woodcroft.sa.edu.au,,,,,,,,,,,,,,
01664G,Heights College,Heights College Ltd,Private,www.heights.qld.edu.au,,,,,,,,,,,,,,
01688K,Kennedy Baptist College,Kennedy Baptist College Association Inc.,Private,www.kennedy.wa.edu.au,,,,,,,,,,,,,,
01723A,Department of Education,Department of Education,Government,www.tafeinternational.wa.edu.au,,,,,,,,,,,,,,
01737F,"Griffith College, QIBT",Queensland Institute of Business and Technology Pty Ltd,Private,www.griffithcollege.edu.au,,,,,,,,,,,,,,
01748C,Matthew Flinders Anglican College,Matthew Flinders Anglican College Limited,Private,www.mfac.edu.au,,,,,,,,,,,,,,
01751G,NULL,Tenison Woods College,Private,www.tenison.adl.catholic.edu.au,,,,,,,,,,,,,,
01812M,NULL,Melbourne Rudolf Steiner Seminar Limited,Private,http://steinerseminar.net.au/,,,,,,,,,,,,,,
01822J,The Australian College of Physical Education,ACPE Limited,Private,www.acpe.edu.au,,,,,,,,,,,,,,
01850E,Victoria Park Christian School,Seventh-day Adventist Schools (Western Australia) Limited,Private,www.victoriaparkchristianschool.wa.edu.au,,,,,,,,,,,,,,
01854A,"Massage Schools of Queensland, Dentos Pet Stylist Academy, Dentos School of Management, Spa Training Academy of Australia",Dentos Pty Ltd,Private,www.massageschools.com.au,,,,,,,,,,,,,,
01855M,Kingsway Christian College,Kingsway Christian Education Association Inc.,Private,www.kingsway.wa.edu.au,,,,,,,,,,,,,,
01859G,"Headmasters Advanced Academy Training, Beautymasters, Fashionmasters",Headmasters Academy Pty Ltd,Private,www.headmasters.com.au,,,,,,,,,,,,,,
01884F,Dance Factory Pty Ltd,Dance Factory Pty Ltd,Private,www.dancefactory.com.au,,,,,,,,,,,,,,
01894D,Christway College,Christian Resource Ministries Incorporated,Private,https://christway.vic.edu.au/,,,,,,,,,,,,,,
01938G,Saint Stephen's College,Saint Stephen's College Ltd,Private,www.saintstephenscollege.net.au,,,,,,,,,,,,,,
01958D,Waverley Christian College,Waverley Christian College Inc,Private,NULL,,,,,,,,,,,,,,
01968B,Thomas Carr College,Thomas Carr College Tarneit,Private,NULL,,,,,,,,,,,,,,
01984B,Rehoboth Christian College,Association for Christian Education Inc.,Private,www.rehoboth.wa.edu.au,,,,,,,,,,,,,,
01985A,NULL,Sunraysia Institute of TAFE,Government,www.sunitafe.edu.au,,,,,,,,,,,,,,
02025G,All Souls St Gabriels School,All Souls St Gabriels School Inc,Private,www.allsouls.qld.edu.au,,,,,,,,,,,,,,
02028E,Supreme Business College Pty Ltd,Supreme Business College Pty Ltd,Private,www.academies.edu.au,,,,,,,,,,,,,,
02029D,All Saints College,All Saints' College Inc.,Private,www.allsaints.wa.edu.au,,,,,,,,,,,,,,
02042G,Curtin College,Colleges of Business and Technology (WA) Pty Ltd,Private,www.curtincollege.edu.au,,,,,,,,,,,,,,
02117D,La Lingua Language School,Speak College Pty Ltd,Private,www.lalingua.com,,,,,,,,,,,,,,
02137M,ILSC - Australia; ILSC - Brisbane; ILSC - Sydney; ILSC Perth; ILSC Adelaide; ILSC Melbourne; Greystone College,ILSC (Brisbane) Pty Ltd,Private,www.ilsc.com.au,,,,,,,,,,,,,,
02140E,Sydney School of Business and Technology,Sydney School of Business and Technology Pty Ltd,Private,www.ssbt.edu.au,,,,,,,,,,,,,,
02160A,Unity College Australia,Unity College Australia Incorporated,Private,http://www.unity.edu.au,,,,,,,,,,,,,,
02177C,Sheldon College,Sheldon College Ltd,Private,www.sheldoncollege.com,,,,,,,,,,,,,,
02184D,Caroline Chisholm Catholic College,Caroline Chisholm Catholic College,Private,www.cccc.vic.edu.au,,,,,,,,,,,,,,
02189K,Ormiston College,Ormiston College Ltd,Private,www.ormistoncollege.com.au,,,,,,,,,,,,,,
02193C,South Australian Institute of Business and Technology (SAIBT)/CELUSA,South Australian Institute of Business and Technology Pty Ltd,Private,http://www.saibt.sa.edu.au,,,,,,,,,,,,,,
02205D,YWAM Training Townsville,YWAM Townsville Assoc. Inc.,Private,www.ywamtownsville.org,,,,,,,,,,,,,,
02209M,NULL,Our Lady of the Sacred Heart College,Private,www.olsh.catholic.edu.au,,,,,,,,,,,,,,
02227J,Mercy College,Mercy Diocesan College,Private,NULL,,,,,,,,,,,,,,
02260G,The Hills Grammar School,The Hills Grammar School,Private,www.hillsgrammar.nsw.edu.au,,,,,,,,,,,,,,
02266B,The Athena School,THE ATHENA SCHOOL LIMITED,Private,www.athena.nsw.edu.au,,,,,,,,,,,,,,
02267A,St Paul's Grammar School,St Paul's Grammar School Penrith Ltd,Private,www.stpauls.nsw.edu.au,,,,,,,,,,,,,,
02268M,Kincoppal - Rose Bay School of the Sacred Heart,Kincoppal - Rose Bay School,Private,www.krb.nsw.edu.au,,,,,,,,,,,,,,
02269K,Macarthur Anglican School,The Council of Macarthur Anglican School,Private,www.macarthur.nsw.edu.au,,,,,,,,,,,,,,
02270F,Abbotsleigh,The Council of Abbotsleigh,Private,www.abbotsleigh.nsw.edu.au,,,,,,,,,,,,,,
02273C,Tyndale Christian School,The Association for Christian Education of Blacktown Ltd,Private,www.tyndale.edu.au,,,,,,,,,,,,,,
02275A,Wenona School,Wenona School Ltd,Private,www.wenona.nsw.edu.au,,,,,,,,,,,,,,
02276M,St Andrew's Cathedral School,The Council of St Andrew's Cathedral School,Private,www.sacs.nsw.edu.au,,,,,,,,,,,,,,
02277K,Scots All Saints College,The Presbyterian Church (New South Wales) Property Trust,Private,scotsallsaints.nsw.edu.au,,,,,,,,,,,,,,
02280D,Presbyterian Ladies' College Sydney,The Presbyterian Church (New South Wales) Property Trust,Private,www.plc.nsw.edu.au,,,,,,,,,,,,,,
02284M,Kambala,Kambala,Private,www.kambala.nsw.edu.au,,,,,,,,,,,,,,
02285K,The Armidale School,The Armidale School,Private,www.as.edu.au,,,,,,,,,,,,,,
02287G,The Scots College,The Presbyterian Church (New South Wales) Property Trust,Private,www.tsc.nsw.edu.au,,,,,,,,,,,,,,
02290B,Newington College,Council of Newington College,Private,www.newington.nsw.edu.au,,,,,,,,,,,,,,
02293K,The McDonald College,The McDonald College Limited,Private,www.mcdonald.nsw.edu.au,,,,,,,,,,,,,,
02295G,PLC Armidale,The Presbyterian Church (New South Wales) Property Trust,Private,www.plcarmidale.nsw.edu.au/index.htm,,,,,,,,,,,,,,
02298E,Cranbrook School,Cranbrook School,Private,www.cranbrook.nsw.edu.au,,,,,,,,,,,,,,
02300E,The Illawarra Grammar School,The Council of The Illawarra Grammar School,Private,www.tigs.nsw.edu.au,,,,,,,,,,,,,,
02301D,NULL,St John's Grammar School Inc,Private,www.stjohns.sa.edu.au,,,,,,,,,,,,,,
02306K,Ravenswood School for Girls,Ravenswood School For Girls,Private,www.ravenswood.nsw.edu.au,,,,,,,,,,,,,,
02308G,Trinity Grammar School,The Council of Trinity Grammar School,Private,www.trinity.nsw.edu.au,,,,,,,,,,,,,,
02315J,William Clarke College,The William Branwhite Clarke College Council,Private,www.wcc.nsw.edu.au,,,,,,,,,,,,,,
02316G,Calrossy Anglican School,Calrossy Anglican School,Private,www.calrossy.nsw.edu.au,,,,,,,,,,,,,,
02318F,Meriden School,Meriden School,Private,www.meriden.nsw.edu.au,,,,,,,,,,,,,,
02320A,Tara Anglican School for Girls,The Council of Tara Anglican School for Girls,Private,www.tara.nsw.edu.au,,,,,,,,,,,,,,
02322K,"St Catherine's School, Waverley","The Council of St Catherine's School, Waverley",Private,www.stcaths.nsw.edu.au,,,,,,,,,,,,,,
02326F,"The King's School, Tudor House",The Council of the King's School,Private,www.kings.edu.au,,,,,,,,,,,,,,
02328D,MLC School,MLC School,Private,www.mlcsyd.nsw.edu.au,,,,,,,,,,,,,,
02333G,Bishop Druitt College,Bishop Druitt College Council Inc,Private,www.bdc.nsw.edu.au,,,,,,,,,,,,,,
02340G,Pacific Hills Christian School,Pacific Group of Christian Schools Limited,Private,www.pacifichills.nsw.edu.au,,,,,,,,,,,,,,
02342F,St Mark's Coptic Orthodox College,Coptic Orthodox Church (NSW) Property Trust,Private,www.smcoc.nsw.edu.au,,,,,,,,,,,,,,
02344D,Newcastle Grammar School,Newcastle Grammar School Ltd,Private,www.ngs.nsw.edu.au,,,,,,,,,,,,,,
02375G,NULL,University Senior College at Adelaide University Inc,Private,www.usc.adelaide.edu.au,,,,,,,,,,,,,,
02379D,German International School Sydney,German School Johannes Gutenberg,Private,www.germanschoolsydney.com,,,,,,,,,,,,,,
02380M,Le Cordon Bleu Australia Pty Limited,Le Cordon Bleu Australia Pty Limited,Private,www.cordonbleu.edu/australia,,,,,,,,,,,,,,
02398A,Academies Australasia Institute,Academies Australasia Institute Pty Limited,Private,www.academies.edu.au,,,,,,,,,,,,,,
02401M,Australian International High School,Australian International High School Pty Limited,Private,www.academies.nsw.edu.au,,,,,,,,,,,,,,
02402K,NULL,Endeavour College Inc,Private,www.endeavour.sa.edu.au,,,,,,,,,,,,,,
02411J,Box Hill Institute,Box Hill Institute,Government,www.boxhill.edu.au,,,,,,,,,,,,,,
02423E,Coomera Anglican College,The Corporation of the Synod of the Diocese of Brisbane,Private,www.cac.qld.edu.au,,,,,,,,,,,,,,
02427A,Ozford College,Ozford College Pty Ltd,Private,www.ozford.edu.au,,,,,,,,,,,,,,
02447G,St Andrew's Anglican College,The Corporation of the Synod of the Diocese of Brisbane,Private,www.saac.qld.edu.au,,,,,,,,,,,,,,
02448G,Alia College,Alia College Ltd,Private,www.alia.vic.edu.au,,,,,,,,,,,,,,
02449F,Emmanuel Anglican College,Emmanuel Anglican College Council,Private,www.eac.nsw.edu.au,,,,,,,,,,,,,,
02468C,Geraldton Grammar School,Geraldton Grammar School Inc.,Private,www.geraldtongrammarschool.wa.edu.au,,,,,,,,,,,,,,
02475D,Victoria University,Victoria University,Government,www.vu.edu.au/international,,,,,,,,,,,,,,
02483D,Australian Child Care Career Options,Australian Child Care Career Options (ACCCO) Pty Ltd,Private,http://www.accco.com.au,,,,,,,,,,,,,,
02485B,NULL,Blackfriars Priory School,Private,www.blackfriars.sa.edu.au,,,,,,,,,,,,,,
02494A,Australian College of Agriculture & Horticulture (ACAH); Australian College of Agriculture & Horticulture,Rabarl Pty Ltd,Private,http://www.acah.edu.au,,,,,,,,,,,,,,
02500G,Whitsundays College of English,Whitsundays College of English Pty Ltd,Private,www.wce.edu.au,,,,,,,,,,,,,,
02501G,NULL,Ozford English Language Centre Pty Ltd,Private,www.ozford.edu.au,,,,,,,,,,,,,,
02506B,Australian National Institute of Business & Technology,Australian National Institute of Business & Technology Pty Ltd,Private,http://www.anibt.vic.edu.au,,,,,,,,,,,,,,
02527G,Moerlina School,The Moerlina School Inc.,Private,www.moerlina.wa.edu.au,,,,,,,,,,,,,,
02529F,Union Institute of Language,Union Institute of Language - Springfield Campus Pty Ltd,Private,NULL,,,,,,,,,,,,,,
02537F,Sunshine Coast Grammar School,Presbyterian and Methodist Schools Association,Private,www.scgs.qld.edu.au,,,,,,,,,,,,,,
02543G,Kingston International College,Kingston International College Pty Ltd,Private,www.kingstoncollege.wa.edu.au,,,,,,,,,,,,,,
02598D,Our Lady of the Sacred Heart Catholic College,Our Lady of the Sacred Heart Catholic College,Private,www.olshalice.catholic.edu.au,,,,,,,,,,,,,,
02615G,Brisbane College of Australia ; Brisbane College of English,Brisbane College of Australia Pty Ltd,Private,NULL,,,,,,,,,,,,,,
02622J,"Hills Adventist College, Hurstville Adventist School, Macarthur Adventist College, Mountain View Adventist College, Wahroonga Adventist School, Sydney Adventist School - Auburn",Seventh-day Adventist Schools (Greater Sydney) Ltd,Private,www.greatersydney.adventist.edu.au,,,,,,,,,,,,,,
02634E,Academia International & Academia Australia,Australian Academy of Vocational Education and Trades Pty Ltd,Private,http://www.academia21.com,,,,,,,,,,,,,,
02644C,ECA College; The English Language School in Sydney (ELSIS),Education Centre of Australia Pty Ltd,Private,www.elsis.edu.au,,,,,,,,,,,,,,
02645B,Australia-International Institute of Workplace Training,A.I.W.T. Pty. Ltd.,Private,www.aiwt.edu.au,,,,,,,,,,,,,,
02647M,Australian Performing Arts Grammar School,Australian Performing Arts Grammar School Limited,Private,www.apgs.nsw.edu.au,,,,,,,,,,,,,,
