cricos_provider_code,trading_name,institution_name,institution_type,website,,,,,,,,,,,,,,
03389E,Torrens University Australia; Torrens University Language Centre; Chifley Business School at Torrens University Australia CBS at Torrens University Australia Blue Mountains International Hotel Management School at Torrens University Australia BMIHMS at To,Torrens University Australia Limited,Private,https://www.torrens.edu.au/,,,,,,,,,,,,,,
03413K,Oceania College of Technology,GLOBAL TRAINING INNOVATIONS PTY. LTD.,Private,www.oct.edu.au,,,,,,,,,,,,,,
03430J,Australia Institute of Business and Technology,Brighton Pacific Pty Ltd,Private,https://aibtglobal.edu.au/,,,,,,,,,,,,,,
03435D,Paragon Polytechnic,Gateway College of Technology Pty Ltd,Private,https://paragon.edu.au/,,,,,,,,,,,,,,
03437B,Australian Technical College Western Australia,Perth Technical College Pty Ltd,Private,https://atc.wa.edu.au/,,,,,,,,,,,,,,
03465J,"The Canberra Training School Pty Ltd, Canberra Business and Technology College",The Canberra Training School Pty. Ltd.,Private,http://cbtc.edu.au/,,,,,,,,,,,,,,
03468F,NULL,Macallan College Pty Ltd,Private,https://macallan.edu.au/,,,,,,,,,,,,,,
03474G,Step Into Training Services (SITS),HCR Constructions Pty Ltd,Private,https://sits.edu.au/,,,,,,,,,,,,,,
03500M,Vibe College,Adore Education Pty Ltd,Private,http://www.vibecollege.edu.au,,,,,,,,,,,,,,
03505F,Griffin College,GRIFFIN COLLEGE OF MANAGEMENT & TECHNOLOGY PTY. LTD.,Private,www.griffin.edu.au,,,,,,,,,,,,,,
03512G,The Centre of Excellence,The Centre of Excellence Pty Ltd,Private,https://www.thecentreofexcellence.com.au/,,,,,,,,,,,,,,
03520G,Frontier Leadership,Frontier Leadership Pty Ltd,Private,https://frontiereducation.edu.au/,,,,,,,,,,,,,,
03548F,"Skills Australia Institute, Western Australia College lnternational",Excellent Accounts Pty Ltd,Private,http://www.skillsaustralia.edu.au/,,,,,,,,,,,,,,
03553J,Albright Institute of Business and Language; Albright Institute of English,ANIT Australia Pty Ltd,Private,http://www.albrightinstitute.edu.au/,,,,,,,,,,,,,,
03556F,Trinity Institute (Australia),Crown Education Pty Ltd,Private,https://trinityinstitute.edu.au/,,,,,,,,,,,,,,
03569A,Australis College,Australis College Pty Ltd,Private,https://aite.edu.au/,,,,,,,,,,,,,,
03581E,Ikon Institute of Australia,Proteus Technologies Pty Ltd,Private,https://ikon.edu.au/,,,,,,,,,,,,,,
03595K,AUSTRALIAN HEALTH AND MANAGEMENT INSTITUTE PTY LTD,AUSTRALIAN HEALTH AND MANAGEMENT INSTITUTE PTY LTD,Private,https://www.ahmi.edu.au/,,,,,,,,,,,,,,
03597G,"Acquire Training Solutions Pty Ltd, Laneway International College",LANEWAY EDUCATION PTY LTD,Private,https://laneway.edu.au/,,,,,,,,,,,,,,
03620C,NULL,Sydney City College of Management Pty Ltd,Private,https://sccm.edu.au/,,,,,,,,,,,,,,
03635G,NULL,Brighton College Pty Ltd,Private,https://brighton.edu.au/,,,,,,,,,,,,,,
03636F,NULL,Lead College Pty Ltd,Private,http://www.leadcollege.edu.au/,,,,,,,,,,,,,,
03639C,Skyline International College,MG Australia Group Pty Ltd,Private,https://sic.edu.au/,,,,,,,,,,,,,,
03690M,Western Sydney College,International College of Australia Pty Ltd,Private,https://overseasstudentsaustralia.com/apps/institutions/institution/international-college-of-australia-pty-ltd/,,,,,,,,,,,,,,
03700C,NULL,Mint Training Pty Ltd,Private,http://www.minttraining.edu.au/,,,,,,,,,,,,,,
03705J,The Institute of International Studies (TIIS),The Institute of International Studies (TIIS) Pty Ltd,Private,https://www.tiis.edu.au/,,,,,,,,,,,,,,
03717E,Richmond School of Business,Richmond School of Business Pty Ltd,Private,www.rsb.edu.au,,,,,,,,,,,,,,
03724F,Australian Polytechnic College,Mondairs PTY LTD,Private,https://australianpolytechnic.edu.au/,,,,,,,,,,,,,,
03732F,"Leaders Institute Pty Ltd, Australian Agribusiness Institute, Australian Business Institute",Leaders Institute Pty Ltd,Private,http://www.leaders.edu.au,,,,,,,,,,,,,,
03753A,Aspen College,Aspen Education Group Pty Ltd,Private,https://www.aspencollege.edu.au/,,,,,,,,,,,,,,
03763K,Adelaide Institute of Higher Education Pty Ltd (AIHE),Adelaide Institute of Higher Education Pty Ltd,Private,www.aihe.sa.edu.au,,,,,,,,,,,,,,
03778C,Southern Academy of Health Sciences,Victorian Institute of Education Pty ltd,Private,www.vie.edu.au,,,,,,,,,,,,,,
03783F,Active Transition Training and Melbourne Metropolitan College,Active Transition Training Pty Ltd,Private,https://mmc.edu.au/,,,,,,,,,,,,,,
03800K,NULL,Australian College of Management and Innovation Pty Ltd,Private,https://acmi.wa.edu.au/,,,,,,,,,,,,,,
03844J,AIBI Higher Education Pty Ltd,Australian Institute of Business Intelligence Pty Ltd,Private,www.aibi.edu.au,,,,,,,,,,,,,,
