CRICOS Provider Code,Institution Name,CRICOS Course Code,Course Name,VET National Code,Dual Qualification,Field of Education 1 Broad Field,Field of Education 1 Narrow Field,Field of Education 1 Detailed Field,Field of Education 2 Broad Field,Field of Education 2 Narrow Field,Field of Education 2 Detailed Field,Course Level,Foundation Studies,Work Component,Work Component Hours/Week,Work Component Weeks,Work Component Total Hours,Course Language,Duration (Weeks),Tuition Fee,Non Tuition Fee,Estimated Total Course Cost,Expired
00001K,Canberra Institute of Technology,078241E,ACT Year 12 Certificate,,No,12 - Mixed Field Programmes,1201 - General Education Programmes,120101 - General Primary and Secondary Education Programmes,,,,Senior Secondary Certificate of Education,No,No,,,,English,44,"$13,300.00",$150.00,"$13,450.00",No
00001K,Canberra Institute of Technology,091155E,Certificate IV in Mental Health,CHC43315,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090501 - Social Work,,,,Certificate IV,No,Yes,4.00,20,80,English,52,"$16,980.00",$175.00,"$17,155.00",No
00001K,Canberra Institute of Technology,094149A,Certificate III in Hairdressing,SHB30416,No,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110303 - Hairdressing,,,,Certificate III,No,Yes,28.00,18,504,English,78,"$24,120.00","$2,005.00","$26,125.00",No
00001K,Canberra Institute of Technology,097541B,English for Study and Life (Elementary),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097543M,English for Study and Life (Pre-Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097544K,English for Study and Life (Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097545J,English for Study and Life (Upper-Intermediate),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097546G,English for Study and Life (Advanced),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,097547G,English for Study and Life (Academic),,No,09 - Society and Culture,0915 - Language and Literature,091501 - ELICOS,,,,Non AQF Award,No,No,,,,English,15,"$3,500.00",$175.00,"$3,675.00",No
00001K,Canberra Institute of Technology,104665E,Certificate IV in Building and Construction,CPC40120,No,04 - Architecture and Building,0403 - Building,040303 - Building Construction Management,,,,Certificate IV,No,No,,,,English,78,"$25,470.00",$0.00,"$25,470.00",No
00001K,Canberra Institute of Technology,105812B,Diploma of Graphic Design,CUA50720,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Diploma,No,No,,,,English,78,"$25,470.00","$3,300.00","$28,770.00",No
00001K,Canberra Institute of Technology,108479H,Certificate III in Information Technology,ICT30120,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Certificate III,No,No,,,,English,26,"$8,040.00",$260.00,"$8,300.00",No
00001K,Canberra Institute of Technology,108480D,Diploma of Information Technology,ICT50220,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Diploma,No,No,,,,English,52,"$16,070.00",$380.00,"$16,450.00",No
00001K,Canberra Institute of Technology,108481C,Certificate IV in Information Technology,ICT40120,No,02 - Information Technology,0203 - Information Systems,"020399 - Information Systems, n.e.c.",,,,Certificate IV,No,No,,,,English,52,"$16,560.00",$450.00,"$17,010.00",No
00001K,Canberra Institute of Technology,109721F,Certificate IV in Kitchen Management,SIT40521,No,"11 - Food, Hospitality and Personal Services",1101 - Food and Hospitality,110109 - Cookery,,,,Certificate IV,No,Yes,10.00,20,200,English,26,"$10,140.00",$0.00,"$10,140.00",No
00001K,Canberra Institute of Technology,109752K,Certificate III in Patisserie,SIT31021,No,"11 - Food, Hospitality and Personal Services",1101 - Food and Hospitality,110107 - Baking and Pastrymaking,,,,Certificate III,No,Yes,10.00,40,400,English,52,"$20,290.00",$850.00,"$21,140.00",No
00001K,Canberra Institute of Technology,109761J,Certificate III in Commercial Cookery,SIT30821,No,"11 - Food, Hospitality and Personal Services",1101 - Food and Hospitality,110109 - Cookery,,,,Certificate III,No,Yes,10.00,40,400,English,52,"$20,720.00",$860.00,"$21,580.00",No
00001K,Canberra Institute of Technology,110026H,Certificate IV in Accounting and Bookkeeping,FNS40222,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Certificate IV,No,No,,,,English,26,"$8,040.00",$450.00,"$8,490.00",No
00001K,Canberra Institute of Technology,110030A,Certificate III in Accounts Administration,FNS30322,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Certificate III,No,No,,,,English,26,"$8,040.00",$325.00,"$8,365.00",No
00001K,Canberra Institute of Technology,110727A,Certificate III in Early Childhood Education and Care,CHC30121,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Certificate III,No,Yes,42.00,6,252,English,52,"$16,980.00",$223.00,"$17,203.00",No
00001K,Canberra Institute of Technology,111244A,Diploma of Visual Arts,CUA51120,No,10 - Creative Arts,1003 - Visual Arts and Crafts,"100399 - Visual Arts and Crafts, n.e.c.",,,,Diploma,No,No,,,,English,52,"$16,980.00",$525.00,"$17,505.00",No
00001K,Canberra Institute of Technology,111262K,Diploma of Early Childhood Education and Care,CHC50121,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Diploma,No,Yes,15.60,18,281,English,52,"$16,980.00",$0.00,"$16,980.00",No
00001K,Canberra Institute of Technology,112086B,Advanced Diploma of Graphic Design,CUA60320,No,10 - Creative Arts,1005 - Graphic and Design Studies,100501 - Graphic Arts and Design Studies,,,,Advanced Diploma,No,No,,,,English,52,"$16,980.00","$3,420.00","$20,400.00",No
00001K,Canberra Institute of Technology,112087A,Diploma of Beauty Therapy,SHB50121,No,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110301 - Beauty Therapy,,,,Diploma,No,Yes,6.00,18,108,English,52,"$16,070.00","$2,294.00","$18,364.00",No
00001K,Canberra Institute of Technology,112089K,Certificate III in Hospitality,SIT30622,No,"11 - Food, Hospitality and Personal Services",1101 - Food and Hospitality,110101 - Hospitality,,,,Certificate III,No,Yes,12.00,18,216,English,26,"$8,040.00",$250.00,"$8,290.00",No
00001K,Canberra Institute of Technology,112091E,Advanced Diploma of Accounting,FNS60222,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Advanced Diploma,No,Yes,7.50,17,128,English,26,"$8,040.00",$740.00,"$8,780.00",No
00001K,Canberra Institute of Technology,112092D,Diploma of Accounting,FNS50222,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Diploma,No,No,,,,English,26,"$8,040.00",$615.00,"$8,655.00",No
00001K,Canberra Institute of Technology,112093C,Certificate IV in Beauty Therapy,SHB40121,No,"11 - Food, Hospitality and Personal Services",1103 - Personal Services,110301 - Beauty Therapy,,,,Certificate IV,No,Yes,6.00,18,108,English,52,"$16,070.00","$1,436.00","$17,506.00",No
00001K,Canberra Institute of Technology,112865H,Diploma of Nursing,HLT54121,No,06 - Health,0603 - Nursing,060301 - General Nursing,,,,Diploma,No,Yes,7.40,54,400,English,78,"$31,320.00","$6,845.00","$38,165.00",No
00001K,Canberra Institute of Technology,113462H,Diploma of Hospitality Management,SIT50422,No,08 - Management and Commerce,0803 - Business and Management,080319 - Hospitality Management,,,,Diploma,No,No,,,,English,26,"$10,140.00",$50.00,"$10,190.00",No
00001K,Canberra Institute of Technology,113905H,Diploma of Travel and Tourism Management,SIT50122,No,08 - Management and Commerce,0803 - Business and Management,080323 - Tourism Management,,,,Diploma,No,Yes,10.00,7,70,English,52,"$16,070.00",$150.00,"$16,220.00",No
00001K,Canberra Institute of Technology,114025K,Certificate III in Individual Support,CHC33021,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090507 - Care for the Aged,,,,Certificate III,No,Yes,24.00,5,120,English,26,"$8,490.00",$802.00,"$9,292.00",No
00001K,Canberra Institute of Technology,117647M,Course in Crystalline Silica Exposure Prevention,,No,04 - Architecture and Building,0403 - Building,"040399 - Building, n.e.c.",,,,Non AQF Award,No,Yes,4.00,1,4,English,1,$340.00,$0.00,$340.00,No
00001K,Canberra Institute of Technology,117648K,Course in Asbestos Awareness,,No,04 - Architecture and Building,0403 - Building,"040399 - Building, n.e.c.",,,,Non AQF Award,No,Yes,4.00,1,4,English,1,$190.00,$0.00,$190.00,No
00001K,Canberra Institute of Technology,117649J,Prepare to work safely in the construction industry,CPCWHS1001,No,04 - Architecture and Building,0403 - Building,"040399 - Building, n.e.c.",,,,Vocational Short Course,No,No,,,,English,0,$150.00,$0.00,$150.00,No
00001K,Canberra Institute of Technology,118566D,Diploma of Early Childhood Education and Care,CHC50125,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Diploma,No,Yes,16.00,18,281,English,52,"$16,980.00",$0.00,"$16,980.00",No
00001K,Canberra Institute of Technology,119569D,Certificate III in Early Childhood Education and Care,CHC30125,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Certificate III,No,Yes,42.00,6,252,English,52,"$16,980.00",$223.00,"$17,203.00",No
00001K,Canberra Institute of Technology,120900K,Diploma of Community Services,CHC52025,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,,,,Diploma,No,Yes,5.60,18,101,English,38,"$17,580.00",$175.00,"$17,755.00",No
00001K,Canberra Institute of Technology,120925A,Certificate IV in Community Services,CHC42021,No,09 - Society and Culture,0905 - Human Welfare Studies and Services,090515 - Welfare Studies,,,,Certificate IV,No,No,,,,English,38,"$16,200.00",$150.00,"$16,350.00",No
00002J,Macquarie University (Macquarie),001357G,Bachelor of Arts,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$128,500.00","$1,119.00","$129,619.00",No
00002J,Macquarie University (Macquarie),001359E,Bachelor of Arts - Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$123,000.00","$1,119.00","$124,119.00",No
00002J,Macquarie University (Macquarie),001362K,Bachelor of Economics,,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),001365G,Bachelor of Science,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,"019999 - Natural and Physical Sciences, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),001371J,Bachelor of Arts with the degree of Bachelor of Laws,,Yes,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$259,500.00","$1,865.00","$261,365.00",No
00002J,Macquarie University (Macquarie),001396M,Master of Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),001403F,Doctor of Philosophy (Arts),,No,09 - Society and Culture,0900 - Society and Culture,"090000 - Society and Culture, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$131,800.00",$0.00,"$131,800.00",No
00002J,Macquarie University (Macquarie),001404E,Doctor of Philosophy (Science and Engineering),,No,01 - Natural and Physical Sciences,0100 - Natural and Physical Sciences,"010000 - Natural and Physical Sciences, n.f.d.",,,,Doctoral Degree,No,No,,,,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),008653J,Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,"$11,900.00",$0.00,"$11,900.00",No
00002J,Macquarie University (Macquarie),0100138,Graduate Certificate of Education,,No,07 - Education,0703 - Curriculum and Education Studies,"070300 - Curriculum and Education Studies, n.f.d",,,,Graduate Certificate,No,No,,,,English,26,"$19,400.00",$186.50,"$19,586.50",No
00002J,Macquarie University (Macquarie),0100139,Master of Business Analytics,,No,02 - Information Technology,0203 - Information Systems,020307 - Decision Support Systems,,,,Masters Degree (Coursework),No,No,,,,English,104,"$97,900.00",$746.00,"$98,646.00",No
00002J,Macquarie University (Macquarie),0100917,Bachelor of Combined Studies in Arts / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$233,900.00","$1,825.00","$235,725.00",No
00002J,Macquarie University (Macquarie),0100918,Bachelor of Combined Studies in Science / Engineering (Honours),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Honours Degree,No,Yes,35.00,12,420,English,260,"$251,400.00","$1,865.00","$253,265.00",No
00002J,Macquarie University (Macquarie),0100919,Master of Combined Studies in Applied Economics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100920,Master of Combined Studies in Banking and Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,182,"$172,900.00","$1,305.50","$174,205.50",No
00002J,Macquarie University (Macquarie),0100921,Master of Combined Studies in Business Analytics / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$148,300.00","$1,119.00","$149,419.00",No
00002J,Macquarie University (Macquarie),0100922,Master of Combined Studies in Commerce / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100923,Master of Combined Studies in Creative Industries / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$137,700.00","$1,119.00","$138,819.00",No
00002J,Macquarie University (Macquarie),0100924,Master of Combined Studies in Cybergovernance and Management / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100925,Master of Combined Studies in Finance / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),0100926,Master of Combined Studies in International Business / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),0100927,Master of Combined Studies in International Relations / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$114,600.00",$912.50,"$115,512.50",No
00002J,Macquarie University (Macquarie),0100928,Master of Combined Studies in International Trade and Commerce Law / Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$116,400.00",$912.50,"$117,312.50",No
00002J,Macquarie University (Macquarie),0100929,Master of Combined Studies in Management / Marketing,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),0100930,Master of Combined Studies in Management / Media and Communications,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$137,700.00","$1,119.00","$138,819.00",No
00002J,Macquarie University (Macquarie),0100931,Master of Combined Studies in Management / Public and Social Policy,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,130,"$113,350.00",$932.50,"$114,282.50",No
00002J,Macquarie University (Macquarie),0101343,Bachelor of Combined Studies in Commerce / Education (Secondary),,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,Yes,30.00,16,480,English,208,"$169,700.00","$1,404.00","$171,104.00",No
00002J,Macquarie University (Macquarie),0101344,Bachelor of Combined Studies in Education (Primary) / Psychology,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Bachelor Degree,No,Yes,36.00,16,576,English,208,"$164,000.00","$1,404.00","$165,404.00",No
00002J,Macquarie University (Macquarie),0101507,Master of Combined Studies in Business Analytics / Information Systems Management,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$148,000.00","$1,119.00","$149,119.00",No
00002J,Macquarie University (Macquarie),0101508,Master of Combined Studies in Business Analytics / Information Technology in Cyber Security,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$147,400.00","$1,119.00","$148,519.00",No
00002J,Macquarie University (Macquarie),0101509,Master of Combined Studies in Business Analytics / Information Technology in Networking,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Masters Degree (Coursework),No,No,,,,English,156,"$147,400.00","$1,119.00","$148,519.00",No
00002J,Macquarie University (Macquarie),0101874,Bachelor of Laws (Honours),,No,09 - Society and Culture,0909 - Law,090913 - Legal Practice,,,,Bachelor Honours Degree,No,No,,,,English,208,"$205,400.00","$1,492.00","$206,892.00",No
00002J,Macquarie University (Macquarie),018437A,Bachelor of Commerce with the degree of Bachelor of Laws,,Yes,08 - Management and Commerce,0800 - Management and Commerce,"080000 - Management and Commerce, n.f.d.",09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$254,200.00","$1,865.00","$256,065.00",No
00002J,Macquarie University (Macquarie),020161F,Bachelor of Medical Sciences,,No,01 - Natural and Physical Sciences,0199 - Other Natural and Physical Sciences,019901 - Medical Science,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,300.00","$1,119.00","$143,419.00",No
00002J,Macquarie University (Macquarie),021498F,Bachelor of Psychology (Honours),,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Honours Degree,No,No,0.00,0,0,English,208,"$186,500.00","$1,492.00","$187,992.00",No
00002J,Macquarie University (Macquarie),021499E,Bachelor of Education (Early Childhood Education) (Birth to 12),,No,07 - Education,0701 - Teacher Education,070101 - Teacher Education: Early Childhood,,,,Bachelor Degree,No,Yes,40.00,18,720,English,208,"$167,300.00","$1,492.00","$168,792.00",No
00002J,Macquarie University (Macquarie),021502D,Doctor of Philosophy (Business and Economics),,No,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,,,,Doctoral Degree,No,No,,,,English,156,"$123,000.00",$0.00,"$123,000.00",No
00002J,Macquarie University (Macquarie),022767D,Master of Accounting (CPA Extension),,No,08 - Management and Commerce,0801 - Accounting,080101 - Accounting,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,130,"$121,100.00",$932.50,"$122,032.50",No
00002J,Macquarie University (Macquarie),027337G,Bachelor of Social Science,,No,09 - Society and Culture,0903 - Studies in Human Society,"090300 - Studies in Human Society, n.f.d.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$136,300.00","$1,119.00","$137,419.00",No
00002J,Macquarie University (Macquarie),027342M,Bachelor of Applied Finance,,No,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),027343K,Bachelor of Business Administration,,No,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),027361G,Combined PHD/Masters in Clinical Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Doctoral Degree,No,No,0.00,0,0,English,156,"$168,600.00",$0.00,"$168,600.00",No
00002J,Macquarie University (Macquarie),027373D,Master of Clinical Audiology,,No,06 - Health,0617 - Rehabilitation Therapies,061709 - Audiology,,,,Masters Degree (Coursework),No,Yes,25.00,10,250,English,104,"$129,500.00",$746.00,"$130,246.00",No
00002J,Macquarie University (Macquarie),027374C,Master of Clinical Neuropsychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),028662J,Study Abroad,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,"$23,800.00",$0.00,"$23,800.00",No
00002J,Macquarie University (Macquarie),028866G,Bachelor of Chiropractic Science,,No,06 - Health,0617 - Rehabilitation Therapies,061705 - Chiropractic and Osteopathy,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$154,000.00","$1,119.00","$155,119.00",No
00002J,Macquarie University (Macquarie),030053E,Master of Organisational Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Masters Degree (Coursework),No,Yes,14.00,75,"1,050",English,104,"$104,000.00",$746.00,"$104,746.00",No
00002J,Macquarie University (Macquarie),030079F,Master of Arts,,No,09 - Society and Culture,0915 - Language and Literature,091523 - Literature,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,$0.00,$0.00,"$30,752.00",No
00002J,Macquarie University (Macquarie),030375J,Bachelor of Applied Finance with the degree of Bachelor of Economics,,Yes,08 - Management and Commerce,"0811 - Banking, Finance and Related Fields",081101 - Banking and Finance,09 - Society and Culture,0919 - Economics and Econometrics,091901 - Economics,Bachelor Degree,No,No,0.00,0,0,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),031133G,Bachelor of Business Administration with the degree of Bachelor of Arts - Psychology,,Yes,08 - Management and Commerce,0803 - Business and Management,080301 - Business Management,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,Bachelor Degree,No,No,0.00,0,0,English,208,"$199,300.00","$1,492.00","$200,792.00",No
00002J,Macquarie University (Macquarie),031331B,Bachelor of Science - Psychology,,No,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$123,000.00","$1,119.00","$124,119.00",No
00002J,Macquarie University (Macquarie),037278J,Bachelor of Marine Science,,No,01 - Natural and Physical Sciences,0109 - Biological Sciences,010907 - Marine Science,,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$142,600.00","$1,119.00","$143,719.00",No
00002J,Macquarie University (Macquarie),037283A,Bachelor of Arts - Psychology with the degree of Bachelor of Laws,,Yes,09 - Society and Culture,0907 - Behavioural Science,090701 - Psychology,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",Bachelor Degree,No,No,0.00,0,0,English,260,"$150,000.00","$1,515.00","$151,515.00",No
00002J,Macquarie University (Macquarie),037296G,Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,26,,,$1.00,No
00002J,Macquarie University (Macquarie),037297F,Exchange Program,,No,12 - Mixed Field Programmes,1299 - Other Mixed Field Programmes,"129999 - Mixed Field Programmes, n.e.c.",,,,Non AQF Award,No,No,0.00,0,0,English,52,,,$1.00,No
00002J,Macquarie University (Macquarie),037303B,Master of Speech and Language Pathology,,No,06 - Health,0617 - Rehabilitation Therapies,061707 - Speech Pathology,,,,Masters Degree (Coursework),No,Yes,11.00,60,660,English,104,"$129,500.00",$746.00,"$130,246.00",No
00002J,Macquarie University (Macquarie),043333A,Bachelor of e-Business,,No,08 - Management and Commerce,0803 - Business and Management,"080399 - Business and Management, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$144,600.00","$1,119.00","$145,719.00",No
00002J,Macquarie University (Macquarie),045284M,Master of International Trade and Commerce Law,,No,09 - Society and Culture,0909 - Law,090909 - International Law,,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,"$46,900.00",$373.00,"$47,273.00",No
00002J,Macquarie University (Macquarie),047324C,Bachelor of Education (Primary),,No,07 - Education,0701 - Teacher Education,070103 - Teacher Education: Primary,,,,Bachelor Degree,No,Yes,35.00,12,420,English,104,"$82,400.00",$746.00,"$83,146.00",No
00002J,Macquarie University (Macquarie),047326A,Bachelor of Engineering,,No,03 - Engineering and Related Technologies,0399 - Other Engineering and Related Technologies,"039999 - Engineering and Related Technologies, n.e.c.",,,,Bachelor Degree,No,Yes,36.00,15,540,English,208,$0.00,$0.00,"$139,968.00",No
00002J,Macquarie University (Macquarie),047327M,Bachelor of Information Technology,,No,02 - Information Technology,0299 - Other Information Technology,"029999 - Information Technology, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$144,600.00","$1,119.00","$145,719.00",No
00002J,Macquarie University (Macquarie),047337J,Master of Laws,,No,09 - Society and Culture,0909 - Law,"090900 - Law, n.f.d.",,,,Masters Degree (Coursework),No,No,0.00,0,0,English,52,"$47,800.00",$373.00,"$48,173.00",No
00002J,Macquarie University (Macquarie),048246D,Bachelor of Commerce,,No,08 - Management and Commerce,0899 - Other Management and Commerce,"089999 - Management and Commerce, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$146,500.00","$1,119.00","$147,619.00",No
00002J,Macquarie University (Macquarie),054336G,Bachelor of International Studies,,No,09 - Society and Culture,0915 - Language and Literature,"091599 - Language and Literature, n.e.c.",,,,Bachelor Degree,No,No,0.00,0,0,English,156,"$136,300.00","$1,119.00","$137,419.00",No
