039943J	Doctor of Philosophy (Design)
039978J	Study Abroad Scheme
039979G	Exchange Program
039981C	Master of Philosophy (Aboriginal Health Studies)
039982B	Master of Philosophy (Anatomical Pathology)
039983A	Master of Philosophy (Anatomy)
039985K	Master of Philosophy (Environmental and Occupational Health)
039986J	Master of Philosophy (General Practice)
039987G	Master of Philosophy (Human Physiology)
039988G	Master of Philosophy (Immunology and Microbiology)
039991A	Master of Philosophy (Medical Biochemistry)
039993K	Master of Philosophy (Medical Genetics)
039998E	Master of Philosophy (Medical Radiation Science)
039999D	Master of Philosophy (Medicine)
040000B	Master of Philosophy (Nutrition and Dietitics)
040002M	Master of Philosophy (Psychiatry)
040003K	Master of Philosophy (Reproductive Medicine)
040004J	Master of Philosophy (Surgical Science)
043947D	Bachelor of Social Science / Bachelor of Laws (Honours)
044439E	Bachelor of Information Technology
045032J	Master of Philosophy (Information Systems)
045882M	Master of Philosophy (Nursing)
045910A	Master of Philosophy (Environmental Science)
045911M	Master of Philosophy (Aboriginal Studies)
045913J	Master of Philosophy (Human Geography)
045921J	Master of Philosophy (Physiotherapy)
045922G	Master of Philosophy (Computer Engineering)
045923G	Master of Philosophy (Software Engineering)
045925E	Master of Philosophy (Environmental Engineering)
045926D	Master of Philosophy (Politics)
045927C	Master of Philosophy (Speech Pathology)
045935C	Doctor of Philosophy (Surveying)
045937A	Doctor of Philosophy (Environmental Engineering)
045938M	Doctor of Philosophy (Aboriginal Studies)
045944B	Doctor of Philosophy (Software Engineering)
045946M	Doctor of Philosophy (Computer Engineering)
045947K	Doctor of Philosophy (Human Geography)
045948J	Doctor of Philosophy (Environmental Science)
045949G	Doctor of Philosophy (Information Systems)
045950D	Doctor of Philosophy (Politics)
045951C	Doctor of Philosophy (Speech Pathology)
045953A	Doctor of Philosophy (Physiotherapy)
050541A	Bachelor of Development Studies (Honours)
053410K	Master of Philosophy (Information Technology)
053411J	Doctor of Philosophy (Information Technology)
055918K	Bachelor of Food Science and Human Nutrition
056223M	Doctor of Philosophy (Cultural Studies)
056224K	Doctor of Philosophy (Oral Health)
056225J	Doctor of Philosophy (Midwifery)
056983D	Master of Philosophy (Cultural Studies)
056984C	Master of Philosophy (Oral Health)
057003D	Master of Philosophy (Pharmacy)
057004C	Master of Philosophy (Experimental Pharmacology)
057005B	Doctor of Philosophy (Pharmacy)
057006A	Doctor of Philosophy (Experimental Pharmacology)
058964B	Bachelor of Podiatry
059877D	Bachelor of Environmental Science and Management
059879B	Bachelor of Biotechnology
059999E	Master of Professional Accounting
061922G	Bachelor of Environmental Science and Management (Honours)
061935C	Bachelor of Aboriginal Studies (Honours)
062019J	Master of Architecture
064408B	Master of Public Health
064596D	Bachelor of Biotechnology (Honours)
064801D	Doctor of Philosophy (Religious Studies)
064802C	Master of Philosophy (Religious Studies)
065470K	Graduate Certificate in Professional Accounting
065471J	Master of Professional Accounting (Advanced)
069207D	Bachelor of Health (Exit Award Only)
069314A	English for General Purposes (Beginner to Advanced) (5 to 60 weeks)
069584A	Doctor of Philosophy (Engineering)
070062F	Bachelor of Exercise and Sports Science (Honours)
070421K	Master of Philosophy (Exercise and Sport Science)
070422J	Doctor of Philosophy (Exercise and Sport Science)
071681D	English for Academic Purposes (Upper Intermediate to Advanced) (5 to 10 weeks)
072216K	Bachelor of Information Technology/Bachelor of Business
072609D	Bachelor of Nursing
073057A	Master of Philosophy (Social Inclusion)
073058M	Doctor of Philosophy (Social Inclusion)
073274C	Bachelor of Food Science and Human Nutrition (Honours)
074728C	Doctor of Philosophy (Podiatry)
074729B	Master of Philosophy (Podiatry)
075307E	Doctor of Philosophy (Natural History Illustration)
075308D	Master of Philosophy (Natural History Illustration)
077826K	Bachelor of Surveying (Honours)
079533G	Master of Laws
079631E	Juris Doctor/Graduate Diploma in Legal Practice
079931D	Bachelor of Pharmacy (Honours)
082394J	Bachelor of Medical Science and Doctor of Medicine
082759G	Doctor of Philosophy (Magnetic Resonance in Medicine)
082760C	Master of Philosophy (Magnetic Resonance in Medicine)
083517F	Master of Information Technology
084069F	Bachelor of Oral Health Therapy
084166E	Graduate Certificate in Social Change and Development
084247D	Master of Business Administration / Master of Human Resource Management
084248C	Master of Business Administration / Master of International Business
084249B	Master of Business Administration / Master of Marketing
084250J	Master of Business Administration / Master of Applied Finance
084357J	Master of Professional Accounting/Master of Business Administration
085254G	Bachelor of Medical Science (Honours)
087760G	Doctor of Philosophy (Environmental Remediation)
087761F	Master of Philosophy (Environmental Remediation)
087966D	Master of Philosophy (Family Studies)
087967C	Doctor of Philosophy (Family Studies)
088060E	Bachelor of Medical Radiation Science (Honours) (Diagnostic Radiography)
088061D	Bachelor of Medical Radiation Science (Honours) (Nuclear Medicine)
088062C	Bachelor of Medical Radiation Science (Honours) (Radiation Therapy)
088342F	Master of Social Change and Development
088914G	Doctor of Philosophy (Nutritional Biochemistry)
088916F	Master of Philosophy (Nutritional Biochemistry)
088938M	Bachelor of Civil Engineering (Honours)/ Bachelor of Mathematics
089718D	Graduate Diploma in Environmental Risk Assessment and Remediation [Exit Only Award]
090807D	Graduate Certificate in Disaster Risk Reduction
092848A	Bachelor of Computer Systems Engineering (Honours)
092849M	Bachelor of Electrical and Electronic Engineering (Honours)
092850G	Master of Professional Engineering (Geospatial Engineering and Surveying)
092855B	Master of Professional Engineering (Environmental)
093503G	Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Computer Systems Engineering (Honours)
094555J	Master of Philosophy (Disaster Management)
094556G	Doctor of Philosophy (Disaster Management)
094557G	Bachelor of Education Studies [Exit Only Award]
094558F	Associate Degree in Health [Exit Only Award]
095143K	Bachelor of Development Studies/Bachelor of Social Science
095144J	Bachelor of Food Science and Human Nutrition/Bachelor of Business
095145G	Bachelor of Development Studies/Bachelor of Business
095146G	Bachelor of Development Studies/Bachelor of Laws (Honours)
095147F	Bachelor of Innovation and Entrepreneurship/Bachelor of Laws (Honours)
095148E	Bachelor of Arts/Bachelor of Innovation and Entrepreneurship
095149D	Bachelor of Psychological Science
095150M	Bachelor of Psychological Science (Honours)
095151K	Bachelor of Education (Early Childhood and Primary)
095152J	Bachelor of Education (Early Childhood and Primary) (Honours)
095153G	Bachelor of Education (Primary)
095154G	Bachelor of Education (Primary) (Honours)
095155F	Bachelor of Education (Secondary)
095156E	Bachelor of Education (Secondary) (Honours)
095157D	Doctor of Philosophy (Earth Sciences)
095158C	Master of Philosophy (Earth Sciences)
095159B	Master of Disaster Resilience and Sustainable Development
095233G	Graduate Certificate in Clinical Epidemiology
095696K	Bachelor of Nursing (Honours)
095697J	Bachelor of Health Science (Honours)
096167E	Master of Special and Inclusive Education
096443A	Graduate Certificate in Information Technology
096509K	Bachelor of Medical Engineering (Honours)
096510F	Master of Philosophy (Clinical Epidemiology and Medical Statistics)
096511E	Doctor of Philosophy (Clinical Epidemiology and Medical Statistics)
096512D	Master of Philosophy (Gerontology and Geriatrics)
096513C	Master of Philosophy (Health Economics)
096514B	Doctor of Philosophy (Health Economics)
096515A	Master of Philosophy (Medical Education)
096516M	Master of Philosophy (Paediatrics and Child Health)
096517K	Doctor of Philosophy (Paediatrics and Child Health)
096518J	Doctor of Philosophy (Public Health and Behavioural Sciences)
096519G	Master of Philosophy (Trauma Sciences)
096520D	Doctor of Philosophy (Medical Education)
096521C	Doctor of Philosophy (Trauma Sciences)
096522B	Doctor of Philosophy (Gerontology and Geriatrics)
096523A	Master of Philosophy (Public Health and Behavioural Sciences)
096747G	Master of Business Administration (Global)
096748F	Master of Education
096749E	Graduate Certificate in Education
096750A	Master of Professional Accounting / Master of Business Administration
097897G	Master of Nursing
098283G	Master of Professional Engineering (Civil)
098284F	Master of Professional Engineering (Electrical and Electronic)
098285E	Master of Professional Engineering (Mechanical)
098481A	Master of Dispute Resolution
098482M	Master of Midwifery Studies
098483K	Bachelor of Environmental Science and Management / Bachelor of Business
098484J	Bachelor of Global Indigenous Studies
098485G	Bachelor of Global Indigenous Studies / Bachelor of Laws (Honours)
098538M	Study Abroad (Diagnostic Radiography)
098539K	Bachelor of Science
098540F	Bachelor of Arts / Bachelor of Science
098541E	Bachelor of Mathematics / Bachelor of Science
098543C	Bachelor of Science / Bachelor of Laws (Hons)
098562M	Master of Clinical Psychology
098563K	Master of Professional Psychology
099293G	Bachelor of Renewable Energy Engineering (Honours)
099294G	Associate Degree in Science
102237H	Master of Applied Finance
102238G	Master of Business Administration
102239F	Master of Human Resource Management
102240B	Master of International Business
102241A	Master of Marketing
102243K	Graduate Certificate in Health Economics, Management and Policy
102244J	Doctor of Philosophy (Clinical Psychology)
102245H	Master of Philosophy (Materials Science and Engineering)
102246G	Doctor of Philosophy (Materials Science and Engineering)
102441D	Master of Health Economics, Management and Policy
102442C	Master of Health Economics, Management and Policy (Global)
102443B	Master of Health Economics, Management and Policy / Master of Business Administration
102444A	Master of Philosophy (Midwifery)
102636D	Bachelor of Exercise and Sports Science
102637C	Graduate Diploma in Exercise and Chronic Disease Management
102638B	Master of Exercise Physiology
102639A	Master of Professional Psychology (Clinical Foundation)
102640H	Graduate Diploma in Psychological Science
102641G	Bachelor of Business Analytics
102642F	Bachelor of Business / Bachelor of Business Analytics
102643E	Bachelor of Commerce / Bachelor of Business Analytics
